component_id,scientific_role,input_paths,input_sha256,script_path,script_commit_or_provenance,config_path,config_sha256,seed,model_name,model_digest,prompt_path,prompt_sha256,schema_path,environment_evidence,output_paths,output_sha256,case_level_evidence,manifest_path,git_tracked,asset_class,reproducibility_level,status,gap,severity
EXP04_J,HE4 prompt schema validation,versioned HE4 generation outputs,RECORDED_IN_HE4_MANIFEST,src/experiments/audit_he4_phase_j_prompt_schema_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/he4_explainer_schema_v0.2.json,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,src/llm/explain_top3_nandina_prompt_v0.2.md,UNKNOWN,src/configs/he4_explainer_schema_v0.2.json,VERSIONED_AUDIT_METADATA,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_j_prompt_schema_microaudit_v0.2.json,UNKNOWN,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/he4_automatic_validation_case_results_v0.2.csv,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_j_automatic_validation_manifest_v0.2.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2,CLOSED_BY_GROUP1,NOT_APPLICABLE,S0
EXP04_K,HE4 AI rubric evaluation,versioned HE4 case artifacts,RECORDED_IN_HE4_MANIFEST,src/experiments/evaluate_he4_automatic_validation_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/he4_rubric_v0.2.json,UNKNOWN,SEED_NOT_RECOVERABLE,AI_REVIEWER,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,src/configs/he4_rubric_v0.2.json,evaluator identity absent from historical record,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_k_qualitative_evaluation_manifest_v0.2.json,9f3ac3c189bad47a9f67f03530c2aea9411d01fa170df4e3b90ced7035201bba,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/he4_qualitative_case_scores_v0.2.csv,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_k_qualitative_evaluation_manifest_v0.2.json,true,OPTIONAL_DIAGNOSTIC_ASSET,R1_R2_PARTIAL_R5,CLOSED_WITH_DECLARED_LIMITATION,evaluator model identity not recorded,S2
EXP04_L,HE4 final gate,versioned HE4 gate inputs,RECORDED_IN_HE4_MANIFEST,src/experiments/close_he4_qualitative_ai_scoring_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/he4_rubric_v0.2.json,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERSIONED_GATE_METADATA,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_k_qualitative_evaluation_manifest_v0.2.json,9f3ac3c189bad47a9f67f03530c2aea9411d01fa170df4e3b90ced7035201bba,NOT_APPLICABLE,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_k_qualitative_evaluation_manifest_v0.2.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2,CLOSED_BY_GROUP1,NOT_APPLICABLE,S0
EXP05,unified eval hash audit,data/processed/data_aduanas_evalset_clase87_v0.2.csv,3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941,UNKNOWN,VERSIONED_GATE_PROVENANCE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERSIONED_AUDIT_METADATA,outputs/audits/exp05_unified_eval_hash_v0.2/gate_exp05_unified_eval_hash_manifest_v0.2.json,UNKNOWN,NOT_APPLICABLE,outputs/audits/exp05_unified_eval_hash_v0.2/gate_exp05_unified_eval_hash_manifest_v0.2.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2,CLOSED_BY_GROUP1,NOT_APPLICABLE,S0
EXP06,diagnostic reranker audit,outputs/evaluation/diagnostic_llm_reranker_data_aduanas_clase87_v0.2,RECORDED_IN_RERANKER_METADATA,UNKNOWN,VERSIONED_AUDIT_PROVENANCE,src/configs/diagnostic_llm_reranker_v0.2.json,UNKNOWN,0,qwen2.5:7b-instruct,RECORDED_IN_RERANKER_METADATA,src/prompts/reranker_diagnostic_v0.2.txt,UNKNOWN,NOT_APPLICABLE,LLM runtime recorded,docs/exp04_phase_g_exp06_historical_reranker_audit.md,UNKNOWN,NOT_APPLICABLE,outputs/evaluation/diagnostic_llm_reranker_data_aduanas_clase87_v0.2/reranker_run_metadata_v0.2.json,true,OPTIONAL_DIAGNOSTIC_ASSET,R1_R2_PARTIAL_R5,CLOSED_WITH_DECLARED_LIMITATION,LLM byte reproducibility unavailable,S1
EXP07,dev eval freeze audit,data/processed/data_aduanas_evalset_clase87_v0.2.csv,3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941,UNKNOWN,VERSIONED_GATE_PROVENANCE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERSIONED_AUDIT_METADATA,outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,UNKNOWN,NOT_APPLICABLE,outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2,CLOSED_BY_GROUP1,NOT_APPLICABLE,S0
EXP08,v0.1 versus v0.2 sensitivity,versioned sensitivity inputs,RECORDED_IN_EXP08_METADATA,UNKNOWN,VERSIONED_GATE_PROVENANCE,NOT_APPLICABLE,NOT_APPLICABLE,SEED_NOT_RECOVERABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERSIONED_EXP08_METADATA,outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/gate_exp08_split_sensitivity_manifest_v0.2.json,5bdad4563dac016eb1aa1463dda3dfbe3450b49342ffbd8c38a041ca5898795d,NOT_APPLICABLE,outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/gate_exp08_split_sensitivity_manifest_v0.2.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2_PARTIAL_R3,CLOSED_WITH_DECLARED_LIMITATION,original v0.1 runtime metadata absent,S2
EXP09,HE4 selection provenance,versioned HE4 selection outputs,RECORDED_IN_HE4_MANIFEST,src/experiments/prepare_he4_pre_explainer_data_aduanas_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/he4_pre_explainer_v0.2.json,UNKNOWN,2026,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERSIONED_AUDIT_METADATA,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_h_pre_explainer_freeze_v0.2.json,UNKNOWN,NOT_APPLICABLE,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_h_pre_explainer_freeze_v0.2.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2,CLOSED_BY_GROUP1,NOT_APPLICABLE,S0
EXP10,HE4 gate L traceability,versioned HE4 gate inputs,RECORDED_IN_HE4_MANIFEST,src/experiments/close_he4_qualitative_ai_scoring_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/he4_rubric_v0.2.json,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERSIONED_GATE_METADATA,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_k_qualitative_evaluation_manifest_v0.2.json,9f3ac3c189bad47a9f67f03530c2aea9411d01fa170df4e3b90ced7035201bba,NOT_APPLICABLE,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_k_qualitative_evaluation_manifest_v0.2.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2,CLOSED_BY_GROUP1,NOT_APPLICABLE,S0
G2A_EXP11_PREEXECUTION_DESIGN,independent complete-DAM EXP11 planning,data/processed/data_aduanas_historico_clase87_v0.2.csv,0990cdfe2a62638bff83a1182b0d6b0b727d670f63888044e99fd3ee0d7915ff,src/experiments/plan_historical_bank_conditions_v03.py,UNCOMMITTED_G2A_WORKTREE,src/configs/exp11_historical_size_sensitivity_v0.3.json,UNCOMMITTED_G2A_WORKTREE,20261001..20261010,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,CURRENT_VENV_TESTED,outputs/audits/g2a_reproducibility_v0.1/exp11_independent_condition_feasibility_v0.1.json,UNCOMMITTED_G2A_OUTPUT,NO_RETRIEVAL_CASE_LEVEL_OUTPUT,outputs/audits/g2a_reproducibility_v0.1/gate_g2a_reproducibility_manifest_v0.1.json,false,RECONSTRUCTABLE_ARTIFACT,R1_R2_PENDING_EXTERNAL_FINAL_AUDIT,VERIFIED_IN_G2_PENDING_EXTERNAL_FINAL_AUDIT,F006 contracts verified;F008 correction verified;F009 limitation declared,S2
G2A_EXP11_H50_STRATIFICATION,H50 paired dominant-stratum correction,data/processed/data_aduanas_historico_clase87_v0.2.csv,0990cdfe2a62638bff83a1182b0d6b0b727d670f63888044e99fd3ee0d7915ff,src/experiments/plan_historical_bank_conditions_v03.py,UNCOMMITTED_G2A_WORKTREE,src/configs/exp11_historical_size_sensitivity_v0.3.json,UNCOMMITTED_G2A_WORKTREE,D1/D2 paired=20261001..20261005,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,CURRENT_VENV_TESTED,outputs/audits/g2a_reproducibility_v0.1/exp11_independent_condition_feasibility_v0.2.json,UNCOMMITTED_G2A_OUTPUT,NO_RETRIEVAL_CASE_LEVEL_OUTPUT,outputs/audits/g2a_reproducibility_v0.1/gate_g2a_reproducibility_manifest_v0.1.json,false,RECONSTRUCTABLE_ARTIFACT,R1_R2_PENDING_EXTERNAL_FINAL_AUDIT,VERIFIED_IN_G2_PENDING_EXTERNAL_FINAL_AUDIT,F010 resolved by balanced H50 D1/D2 stratification,S2
G2A_EXTERNAL_TESIS_GOVERNANCE,external thesis governance evidence,C:/Users/Vladimir/OneDrive/Documentos/Maestría UNMSM/Cuarto ciclo/Tesis/Anexo 2 - Tesis/Fichas de mejora/Grupo 2,recorded in gate microclose_1e,NOT_APPLICABLE,NOT_APPLICABLE,docs/g2a_contract_exp11_exp12_v0.1.md,UNCOMMITTED_G2A_WORKTREE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,EXTERNAL_TESIS_GOVERNANCE_DOCUMENT,external v3 fichas,NOT_APPLICABLE,outputs/audits/g2a_reproducibility_v0.1/gate_g2a_reproducibility_manifest_v0.1.json,false,EXTERNAL_TESIS_GOVERNANCE_DOCUMENT,R1_R2_PENDING_EXTERNAL_FINAL_AUDIT,RECORDED_EXTERNAL_GOVERNANCE,not required for clean checkout execution,S0
