case_id,id_unico,selection_target,selection_source,selection_note,support_bucket_dams,support_count_dams,exact_rank_evaluation_only,reference_nandina_evaluation_only,query
DA-EVAL-V02-00284,118-2026-10-028002-00-1,rank_1,rank_1,exact_category,2-4,2,1,87038090,"M1,BYD,SEAGULL,EV CAR,2025 CA:HATCHBACK,C1:BLANCO,CO:ELECTRICO (BATERIAS) NC:,CC:,CHASIS:LGXCE4CC2S0724175,MO:4K5046945 AS:4,FR:4X2,TT:AUT,PA:3,PM:+55@9000,PB:1540,PN:1240,CU:300 SAC:ACD,TE:CHI,LA:3780,AN:1715,AL:1540,NR:4"
DA-EVAL-V02-00002,118-2026-10-001133-00-1,rank_1,rank_1,exact_category,2-4,3,1,87032290,"M1 SUV TOYOTA RAIZE 1.2 MID MT AÑO 2026 A251LA-GMXF C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:205/65R16, DE:2525 NC:3, CC:1198, CH:MHKAB1BA7TJ144093, VI:MHKAB1BA7TJ144093, MO:WAA210259 AS:5, EJ:2, FR:4X2, TT:MEC, PA:4, PM:65@6000 ACD, LET, ARA, BSA, CRT, DAS, EAV, EEL, PEL, KLM:35, LA:4030, AN:1710, AL:1605"
DA-EVAL-V02-00003,118-2026-10-001566-00-1,rank_1,rank_1,exact_category,2-4,3,1,87032290,"M1 SUV TOYOTA RUSH 1.5 FULL MT AÑO 2026 F800LE-GMMF C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:215/65R16, DE:2685 NC:4, CC:1496, CH:MHKE8FE20TK033122, VI:MHKE8FE20TK033122, MO:2NR4E96988 AS:7, EJ:2, FR:4X2, TT:MEC, PA:6, PM:76@6000 ACD, LET, ARA, CLM, BSA, DAS, EEL, PEL, KLM:35, LA:4435, AN:1695, AL:1705"
DA-EVAL-V02-00004,118-2026-10-001787-00-1,rank_1,rank_1,exact_category,2-4,3,1,87032290,"M1 SUV TOYOTA RAIZE 1.2 MID CVT AÑO 2026 A251LA-GBXF C1:GRIS OSCURO METALICO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:205/65R16, DE:2525 NC:3, CC:1198, CH:MHKAB1BA5TJ144576, VI:MHKAB1BA5TJ144576, MO:WAA210899 AS:5, EJ:2, FR:4X2, TT:CVT, PA:4, PM:65@6000 ACD, LET, ARA, BSA, CRT, DAS, EAV, EEL, PEL, KLM:35, LA:4030, AN:1710, AL:1605"
DA-EVAL-V02-00017,118-2026-10-004975-00-163,rank_1,rank_1,exact_category,2-4,3,1,87089929,"Ensamblaje de cardán 3570-2205, S/M, 3570-2205080-T Ensamblaje de cardán 3570-2205080-T Cardan assy 3570-2205080-T // Cod: 4110001049004 Transmitir torque entre ejes desalineados Acero // Componente repuesto para maquinaria minera"
DA-EVAL-V02-00426,118-2026-10-036105-00-8,rank_2_3,rank_2_3,exact_category,1,1,2,87079090,"CABINA,TOYOTA,DYNA, USED TRUCK CAB, REPUESTO PARA VEHICULOS ESTADO: USADO, S/S, CON ACCESORIOS, COLOR: BLANCO USO: AUTOMOTRIZ RESOLUCION Nº 010-2023/SDC-INDECOPI"
DA-EVAL-V02-00427,118-2026-10-036105-00-9,rank_2_3,rank_2_3,exact_category,1,1,2,87079090,"CABINA,MITSUBISHI,FUSO, USED TRUCK CAB, REPUESTO PARA VEHICULOS ESTADO: USADO, S/S, CON ACCESORIOS, COLOR: BLANCO USO: AUTOMOTRIZ RESOLUCION Nº 010-2023/SDC-INDECOPI"
DA-EVAL-V02-00439,118-2026-10-038080-00-3,rank_2_3,rank_2_3,exact_category,1,1,2,87079090,"CABINA,MITSUBISHI,CANTER, USED TRUCK CAB, REPUESTO PARA VEHICULOS ESTADO: USADO, S/S, CON ACCESORIOS, COLOR: BLANCO USO: AUTOMOTRIZ RESOLUCION Nº 010-2023/SDC-INDECOPI"
DA-EVAL-V02-00440,118-2026-10-038080-00-4,rank_2_3,rank_2_3,exact_category,1,1,2,87079090,"CABINA,MITSUBISHI,FUSO, USED TRUCK CAB, REPUESTO PARA VEHICULOS ESTADO: USADO, S/S, CON ACCESORIOS, COLOR: AZUL USO: AUTOMOTRIZ RESOLUCION Nº 010-2023/SDC-INDECOPI"
DA-EVAL-V02-00441,118-2026-10-038080-00-5,rank_2_3,rank_2_3,exact_category,1,1,2,87079090,"CABINA,MITSUBISHI,FUSO, USED TRUCK CAB, REPUESTO PARA VEHICULOS ESTADO: USADO, S/S, CON ACCESORIOS, COLOR: CREMA/VERDE USO: AUTOMOTRIZ RESOLUCION Nº 010-2023/SDC-INDECOPI"
DA-EVAL-V02-00442,118-2026-10-038080-00-6,rank_2_3,rank_2_3,exact_category,1,1,2,87079090,"CABINA,NISSAN,UD TRUCKS, USED TRUCK CAB, REPUESTO PARA VEHICULOS ESTADO: USADO, S/S, CON ACCESORIOS, COLOR: AZUL USO: AUTOMOTRIZ RESOLUCION Nº 010-2023/SDC-INDECOPI"
DA-EVAL-V02-00685,118-2026-10-087957-00-1,rank_2_3,rank_2_3,exact_category,1,1,2,87042110,"N1 PICK UP TOYOTA HILUX 4x2 D/C 2GD SR AÑO 2027 GUN135L-DGFSXF C1:PLATA METALICO, CO:DIESEL(PETROLEO), SN:0, NR:4, AR:17/8, N1:265/65R17, DE:3085 NC:4, CC:2393, CH:8AJJB3DD7V4258155, VI:8AJJB3DD7V4258155, MO:2GD5905502 AS:5, EJ:2, FR:4X2, TT:MEC, PA:4, PM:110@3400 ACD, LET, BSA, DAS, EEL, PEL, KLM:15, LA:5325, AN:1855, AL:1815, SD:INDEP C DOBLE HORQUILL"
DA-EVAL-V02-00671,118-2026-10-052270-00-1,rank_2_3,rank_2_3,exact_category,1,1,3,87032390,"M1 MARCA:HYUNDAI, MODELO:CRETA GRAND, Año 2026, VERSION:GLS CA:SUV, C1:AZUL, CO:GASOLINA, SN:0, NR:4, AR:17/6.5, N1:215/60R17, DE:2760 NC:4, CC:1999, CH:MALPC815ATM928589, VI:MALPC815ATM928589, MO:G4NLSW688495 AS:7, EJ:2, FR:4X2, TT:MEC, PA:6, PM:117@6500, PB:2040, PN:1375, CU:665 ACD, ARA, CRT, DAS, EEA, EEL, LET, PEL, EAV, KLM:60, LA:4560, AN:1800, AL:1710, SD:MCPHERS"
DA-EVAL-V02-00682,118-2026-10-077064-00-1,rank_2_3,rank_2_3,exact_category,1,1,3,87032390,"M1 MARCA:HYUNDAI, MODELO:NEW TUCSON, Año 2027, VERSION:GL CA:SUV, C1:GRIS, CO:GASOLINA, SN:0, NR:4, AR:18/7.5, N1:235/60R18, DE:2755 NC:4, CC:1999, CH:LBENXBKDBVY172208, VI:LBENXBKDBVY172208, MO:G4NLSW713278 AS:5, EJ:2, FR:4X2, TT:AUT, PA:4, PM:115@6200, PB:1990, PN:1466, CU:524 ACD, ARA, BSA, CLM, CRT, CTC, DAS, EAV, EEA, EEL, LET, KLM:60, LA:4670, AN:1865, AL:1665,"
DA-EVAL-V02-00285,118-2026-10-028016-00-1,rank_2_3,rank_2_3,exact_category,2-4,2,3,87038090,"M1,CHANGAN,DEEPAL,EV CAR,2025 CA:SUV,C1:VERDE,CO:ELECTRICO (BATERIAS) NC:,CC:,CHASIS:LS6C3E161SA558630,MO:SFHB007982 AS:5,FR:4X2,TT:AUT,PA:4,PM:+190@12000,PB:2455,PN:2025,CU:430 SAC:ACD,TE:CHI,LA:4750,AN:1930,AL:1625,NR:4"
DA-EVAL-V02-00927,118-2026-10-147973-00-130,rank_2_3,rank_2_3,exact_category,2-4,2,3,87149400,"PASTILLA DE FRENO POSTERIOR MAK300U, MAKIBA, S/M PASTILLA DE FRENO POSTERIOR MAK300U EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-00973,118-2026-10-147973-00-189,rank_2_3,rank_2_3,exact_category,2-4,2,3,87149400,"PASTILLA DE FRENO POSTERIOR MAK250U, MAKIBA, S/M PASTILLA DE FRENO POSTERIOR MAK250U EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-00112,118-2026-10-016934-00-1,rank_2_3,rank_2_3,exact_category,2-4,3,2,87032290,"M1,MARCA:VOLKSWAGEN,MODELO:TIGUAN,VE:TIGUAN LIFE 250TSI,,AÑO MOD:2026 CA:SUV,C1:GRIS PLATINO,CO:GASOLINA,SN:0 NC:4,CC:1395, CH:3VVLP6RM2TM010002, VI:3VVLP6RM2TM010002, MO:DJK345463 AS:5,EJ:2,FR:4X2,TT:AUT,PA:4,PM:110@6000,PB:2110,PN:1570,CU:540 LA:4670,AN:1866,AL:1665,,NR:4,AR1:18/7,N1:235/55R18,DE:2791,"
DA-EVAL-V02-00113,118-2026-10-016934-00-2,rank_2_3,rank_2_3,exact_category,2-4,3,2,87032290,"M1,MARCA:VOLKSWAGEN,MODELO:TIGUAN,VE:TIGUAN LIFE 250TSI,,AÑO MOD:2026 CA:SUV,C1:PLATA RURAL,CO:GASOLINA,SN:0 NC:4,CC:1395, CH:3VVLP6RM0TM010662, VI:3VVLP6RM0TM010662, MO:DJK348208 AS:5,EJ:2,FR:4X2,TT:AUT,PA:4,PM:110@6000,PB:2110,PN:1570,CU:540 LA:4670,AN:1866,AL:1665,,NR:4,AR1:18/7,N1:235/55R18,DE:2791,"
DA-EVAL-V02-00239,118-2026-10-025850-00-27,rank_2_3,rank_2_3,exact_category,2-4,3,2,87082100,"CINTURON 3 PUNTAS PARA CHOFER, S/M, S/M SAFETY BELT DSMC-001 USO PARA BUS"
DA-EVAL-V02-00001,118-2026-10-000136-00-1,rank_4_10,rank_4_10,exact_category,1,1,4,87032410,"M1,NISSAN,MURANO VE:SL,2024 CA:SUV,C1:AZUL,CO:GASOLINA,SN:0 NC:6,CC:3500,CH/VIN:5N1AZ2CJ3RC101423,MO:VQ35754666W AS:5,FR:4X2,TT:AUT,PA:4,PM: 191.00@6000.00,PB:2318,PN:1770,CU:548 BSA,LET, ,KM:24597.00,TE:ENCENDIDO POR CHISPA LA:4850,AN:1850,AL:1720, NR:4,AR:55/20, 55"
DA-EVAL-V02-00168,118-2026-10-017759-00-1,rank_4_10,rank_4_10,exact_category,1,1,5,87032310,"M1,MARCA:TOYOTA,MODELO:LAND CRUISER PRADO,VE:2.4T VX AT,AÑO MOD:2026 CH:JTEAACAJ7TK037545,VI:JTEAACAJ7TK037545,MO:T24A5C56431,CC:2393,NC:4,CO:GASOLINA,SNTT:0 CA:SUV,PM:207.00@6000,AS:7,EJ:2,PA:6,FR:4X4,TT:AUT,C1:GRIS MICA METALICO PB:2950,PN:2318,CU:632,LA:4925,AN:1980,AL:1992,NR:4,AR1:20/7,N1:265/60R20 TE:CHI,AC:ACD,LET,ARA,CLM,ASE,BSA,CRT,CTC,CUE,DAS,EAV,EEL,PEL,KILOMETRAJE:35.00, TJA250L-G"
DA-EVAL-V02-00500,118-2026-10-042140-00-1,rank_4_10,rank_4_10,exact_category,1,1,5,87032390,"M1 MARCA:HYUNDAI, MODELO:SANTA FE, Año 2026, VERSION:GL, HHW7L9A1JDD528 CA:SUV, C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:18/7.5, N1:235/60R18, DE:2815 NC:4, CC:2497, CH:KMHP281JBTU058900, VI:KMHP281JBTU058900, MO:G4KNSA113296 AS:7, EJ:2, FR:4X2, TT:AUT, PA:6, PM:142.60@6100, PB:2550, PN:1775, CU:775 ACD, ARA, BSA, CLM, CRT, CTC, DAS, EAV, EEA, EEL, LET, KLM:60, LA:4830, AN:1900, AL:1780,"
DA-EVAL-V02-00423,118-2026-10-036105-00-52,rank_4_10,rank_4_10,exact_category,1,1,7,87142000,"SILLAS DE RUEDA MANUAL,S/M,S/M, WHELL CHAIRS MANUAL ESTADO: USADO, CON ACCESORIOS USO: PERSONAL"
DA-EVAL-V02-00501,118-2026-10-042754-00-1,rank_4_10,rank_4_10,exact_category,1,1,8,87032390,"M1,MARCA:TOYOTA,MODELO:FORTUNER,VE:2.7 CITY 4X2 A/T,AÑO MOD:2026 CH:8AJAX3GSXT0993695,VI:8AJAX3GSXT0993695,MO:2TRB347160,CC:2694,NC:4,CO:GASOLINA,SNTT:0 CA:SUV,PM:122.00@5200,AS:7,EJ:2,PA:6,FR:4X2,TT:AUT,C1:GRIS PB:2510,PN:1968,CU:542,LA:4795,AN:1855,AL:1835,NR:4,AR1:17/7,N1:265/65R17,DE:2745 TE:CHI,AC:ACD,LET,PGB,ARA,BSA,CTC,DAS,EAV,EEL,PEL,KILOMETRAJE:15.00, TGN166L-SGTHKF"
DA-EVAL-V02-00287,118-2026-10-031666-00-1,rank_4_10,rank_4_10,exact_category,1,1,9,87032310,"M1,CHEVROLET,EQUINOX VE:AWD,2025 CA:SUV,C1:NEGRO,CO:GASOLINA,SN:0 NC:4,CC:1500,CH/VIN:3GNAXPEG7SL134595,MO:LSD 242110100 AS:5,FR:4X4,TT:AUT,PA:4,PM: 129.00@5600.00,PB:2200,PN:1610,CU:590 BSA,ACD,ARA,DAS,EEA,EEL,KM:7758.00,TE:ENCENDIDO POR CHISPA LA:4650,AN:1840,AL:1660, NR:4,A"
DA-EVAL-V02-00914,118-2026-10-147973-00-112,rank_4_10,rank_4_10,exact_category,2-4,2,4,87149400,"PEDAL DEL FRENO DE PIE, MAKIBA, S/M PEDAL DEL FRENO DE PIE EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-00948,118-2026-10-147973-00-153,rank_4_10,rank_4_10,exact_category,2-4,2,4,87149400,"SOPORTE DE FRENO POSTERIOR, MAKIBA, S/M SOPORTE DE FRENO POSTERIOR EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-00971,118-2026-10-147973-00-187,rank_4_10,rank_4_10,exact_category,2-4,2,4,87149400,"DISCO DE FRENO POSTERIOR MAK250U, MAKIBA, S/M DISCO DE FRENO POSTERIOR MAK250U EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-00972,118-2026-10-147973-00-188,rank_4_10,rank_4_10,exact_category,2-4,2,4,87149400,"DISCO DE FRENO POSTERIOR MAK250U, MAKIBA, S/M DISCO DE FRENO POSTERIOR MAK250U EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-00740,118-2026-10-128946-00-10,difficult_low_support,difficult_low_support,exact_category,1,1,45,87089500,"BOLSA DE AIRE POSTERIOR DE CABINA,OEM,BJ4269, BOLSA DE AIRE POSTERIOR DE CABINA BJ4269 MATERIAL:HIERRO,MEDIDAS:35 X 10 X 10 CM USO: AMORTIGUAR LAS VIBRACIONES DE LA CABINA H4502B01015A0"
DA-EVAL-V02-00770,118-2026-10-128946-00-9,difficult_low_support,difficult_low_support,exact_category,1,1,45,87089500,"BOLSA DE AIRE POSTERIOR DE CABINA,OEM,BJ4269, BOLSA DE AIRE POSTERIOR DE CABINA BJ4269 MATERIAL:HIERRO,MEDIDAS:35 X 10 X 10 CM USO: AMORTIGUAR LAS VIBRACIONES DE LA CABINA H4502B01015A0"
DA-EVAL-V02-00925,118-2026-10-147973-00-129,difficult_low_support,difficult_low_support,exact_category,2-4,2,11,87149400,"PASTILLA DE FRENO DELANTERA MAK300U, MAKIBA, S/M PASTILLA DE FRENO DELANTERA MAK300U EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-00975,118-2026-10-147973-00-190,difficult_low_support,difficult_low_support,exact_category,2-4,2,11,87149400,"PASTILLA DE FRENO DELANTERA MAK250U, MAKIBA, S/M PASTILLA DE FRENO DELANTERA MAK250U EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-00947,118-2026-10-147973-00-150,difficult_low_support,difficult_low_support,exact_category,2-4,2,12,87149400,"SOPORTE DE DISCO DE FRENO POSTERIOR, MAKIBA, S/M SOPORTE DE DISCO DE FRENO POSTERIOR EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-00920,118-2026-10-147973-00-120,difficult_low_support,difficult_low_support,exact_category,2-4,3,11,87141090,"JEBE DE POSICIONAMIENTO DE LA TAPA DE TANQUE DE GASOLINA MAK300U, MAKIBA, S/M JEBE DE POSICIONAMIENTO DE LA TAPA DE TANQUE DE GASOLINA MAK300U EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-00960,118-2026-10-147973-00-172,difficult_low_support,difficult_low_support,exact_category,2-4,3,11,87141090,"FENDER POSTERIOR DE POSAPIES DERECHO, MAKIBA, S/M FENDER POSTERIOR DE POSAPIES DERECHO EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-01020,118-2026-10-147973-00-65,difficult_low_support,difficult_low_support,exact_category,2-4,3,12,87141090,"CATALINA POSTERIOR CON IMAN, MAKIBA, S/M CATALINA POSTERIOR CON IMAN EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-01021,118-2026-10-147973-00-66,difficult_low_support,difficult_low_support,exact_category,2-4,3,12,87141090,"CATALINA POSTERIOR CON IMAN, MAKIBA, S/M CATALINA POSTERIOR CON IMAN EN PIEZAS REPUESTO DE CUATRIMOTO"
DA-EVAL-V02-01022,118-2026-10-147973-00-67,difficult_low_support,difficult_low_support,exact_category,2-4,3,12,87141090,"CATALINA POSTERIOR CON IMAN, MAKIBA, S/M CATALINA POSTERIOR CON IMAN EN PIEZAS REPUESTO DE CUATRIMOTO"
