case_id,candidate_rank,candidate_code,evidence_id,normative_reference,generic_rule_triggered,trigger_text,warnings_field_valid,generic_normative_warning_when_required,warning_and_limitations_output,deterministic_failure_reason
DA-EVAL-V02-00284,3,87032100,NANDINA_87032100,8703.21.00 - - De cilindrada inferior o igual a 1.000 cm3 u,0,,1,1,,
DA-EVAL-V02-00002,1,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,0,Año 2027 no coincide con 2026,MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00002,2,87034090,NANDINA_87034090,8703.40.90 - - Los demás u,1,8703.40.90 - - Los demás u,1,0,"Modelo no coincide con la mercancia | Modelo RAV 4 no coincide con RAIZE, y no se especifica si es híbrido o gasolina",MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00002,3,87038090,NANDINA_87038090,8703.80.90 - - Los demás u,1,8703.80.90 - - Los demás u,1,0,"VE:2026 vs 2026, no se especifica si es híbrido o gasolina | VE:2026 no coincide con 2026, y no se especifica si es híbrido o gasolina",MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00003,1,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,0,Año de fabricación no coincide | No se especifica el año de fabricación,MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00003,2,87034090,NANDINA_87034090,8703.40.90 - - Los demás u,1,8703.40.90 - - Los demás u,1,0,Tipo de tracción no coincide | No se especifica el tipo de tracción,MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00003,3,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,0,Tipo de tracción no coincide | No se especifica el tipo de tracción,MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00004,1,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00004,2,87034090,NANDINA_87034090,8703.40.90 - - Los demás u,1,8703.40.90 - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00004,3,87038090,NANDINA_87038090,8703.80.90 - - Los demás u,1,8703.80.90 - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00017,1,87089929,NANDINA_87089929,8708.99.29 - - - - Partes u,0,,1,1,,
DA-EVAL-V02-00017,2,87089999,NANDINA_87089999,8708.99.99 - - - - Los demás u,1,8708.99.99 - - - - Los demás u,1,0,,MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00017,3,87089921,NANDINA_87089921,8708.99.21 - - - - Transmisiones cardánicas u,0,,1,1,,
DA-EVAL-V02-00426,1,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-00426,2,87079090,NANDINA_87079090,8707.90.90 - - Las demás u,0,,1,1,,
DA-EVAL-V02-00426,3,87082990,NANDINA_87082990,8708.29.90 - - - Los demás u,1,8708.29.90 - - - Los demás u,1,1,Evidencia normativa generica | Evidencia generica,
DA-EVAL-V02-00427,1,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-00427,2,87079090,NANDINA_87079090,8707.90.90 - - Las demás u,0,,1,1,,
DA-EVAL-V02-00427,3,87082990,NANDINA_87082990,8708.29.90 - - - Los demás u,1,8708.29.90 - - - Los demás u,1,1,La evidencia normativa es genérica y no proporciona información específica sobre la mercancía. | no proporciona información específica sobre la mercancía,
DA-EVAL-V02-00439,1,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-00439,2,87079090,NANDINA_87079090,8707.90.90 - - Las demás u,0,,1,1,,
DA-EVAL-V02-00439,3,87082990,NANDINA_87082990,8708.29.90 - - - Los demás u,1,8708.29.90 - - - Los demás u,1,1,evidencia normativa generica | evidencia generica,
DA-EVAL-V02-00440,1,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-00440,2,87079090,NANDINA_87079090,8707.90.90 - - Las demás u,0,,1,1,,
DA-EVAL-V02-00440,3,87082990,NANDINA_87082990,8708.29.90 - - - Los demás u,1,8708.29.90 - - - Los demás u,1,1,LA EVIDENCIA ES GENERICA Y NO ESPECIFICA CABINA | NO ESPECIFICA CABINA,
DA-EVAL-V02-00441,1,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-00441,2,87079090,NANDINA_87079090,8707.90.90 - - Las demás u,0,,1,1,,
DA-EVAL-V02-00441,3,87082990,NANDINA_87082990,8708.29.90 - - - Los demás u,1,8708.29.90 - - - Los demás u,1,0,"Específicamente para otros componentes, no para cabina | Específicamente para otros componentes, no para cabina",MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00442,1,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-00442,2,87079090,NANDINA_87079090,8707.90.90 - - Las demás u,0,,1,1,,
DA-EVAL-V02-00442,3,87082990,NANDINA_87082990,8708.29.90 - - - Los demás u,1,8708.29.90 - - - Los demás u,1,0,"Específicamente para otros componentes, no para cabina | Específicamente para otros componentes, no para cabina",MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00685,1,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00685,2,87042110,NANDINA_87042110,"8704.21.10 - - - Inferior o igual a 4,537 t u",0,,1,1,,
DA-EVAL-V02-00685,3,87034090,NANDINA_87034090,8703.40.90 - - Los demás u,1,8703.40.90 - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00671,1,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,Evidencia normativa es genérica y no especifica el modelo o año del vehículo | Específicamente para modelos no mencionados,
DA-EVAL-V02-00671,2,87034090,NANDINA_87034090,8703.40.90 - - Los demás u,1,8703.40.90 - - Los demás u,1,1,Evidencia normativa es genérica y no especifica el modelo o año del vehículo | Específicamente para modelos no mencionados,
DA-EVAL-V02-00671,3,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,1,Evidencia normativa es genérica y no especifica el modelo o año del vehículo | Específicamente para modelos no mencionados,
DA-EVAL-V02-00682,1,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00682,2,87034090,NANDINA_87034090,8703.40.90 - - Los demás u,1,8703.40.90 - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00682,3,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00285,1,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00285,2,87032100,NANDINA_87032100,8703.21.00 - - De cilindrada inferior o igual a 1.000 cm3 u,0,,1,1,,
DA-EVAL-V02-00285,3,87038090,NANDINA_87038090,8703.80.90 - - Los demás u,1,8703.80.90 - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00927,1,87083029,NANDINA_87083029,8708.30.29 - - - Las demás partes u,0,,1,1,,
DA-EVAL-V02-00927,2,87083010,NANDINA_87083010,8708.30.10 - - Guarniciones de frenos montadas u,0,,1,1,,
DA-EVAL-V02-00927,3,87149400,NANDINA_87149400,"8714.94.00 - - Frenos, incluidos los bujes con freno, y sus partes u",0,,1,1,,
DA-EVAL-V02-00973,1,87083029,NANDINA_87083029,8708.30.29 - - - Las demás partes u,0,,1,1,,
DA-EVAL-V02-00973,2,87083010,NANDINA_87083010,8708.30.10 - - Guarniciones de frenos montadas u,0,,1,1,,
DA-EVAL-V02-00973,3,87149400,NANDINA_87149400,"8714.94.00 - - Frenos, incluidos los bujes con freno, y sus partes u",0,,1,1,,
DA-EVAL-V02-00112,1,87034090,NANDINA_87034090,8703.40.90 - - Los demás u,1,8703.40.90 - - Los demás u,1,1,"Evidencia generica para híbridos, no para gasolina | Específicamente para híbridos, diferencias en el tipo de vehículo",
DA-EVAL-V02-00112,2,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,"Evidencia generica para vehículos de uso general, no para SUV | Específicamente para vehículos de uso general, diferencias en el tipo de vehículo",
DA-EVAL-V02-00112,3,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,1,"Evidencia generica para vehículos todoterreno, no para SUV | Específicamente para vehículos todoterreno, diferencias en el tipo de vehículo",
DA-EVAL-V02-00113,1,87034090,NANDINA_87034090,8703.40.90 - - Los demás u,1,8703.40.90 - - Los demás u,1,1,Evidencia generica: 'Los demás u',
DA-EVAL-V02-00113,2,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,Evidencia generica: 'Los demás u',
DA-EVAL-V02-00113,3,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,1,Evidencia generica: 'Los demás u',
DA-EVAL-V02-00239,1,87089999,NANDINA_87089999,8708.99.99 - - - - Los demás u,1,8708.99.99 - - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00239,2,87082100,NANDINA_87082100,8708.21.00 - - Cinturones de seguridad u,0,,1,1,,
DA-EVAL-V02-00239,3,87089400,NANDINA_87089400,"8708.94.00 - - Volantes, columnas y cajas de dirección; sus partes u",0,,1,1,,
DA-EVAL-V02-00001,1,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00001,2,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00001,3,87038090,NANDINA_87038090,8703.80.90 - - Los demás u,1,8703.80.90 - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00168,1,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00168,2,87032410,NANDINA_87032410,8703.24.10 - - - Con tracción en las cuatro ruedas u,0,,1,1,,
DA-EVAL-V02-00168,3,87032100,NANDINA_87032100,8703.21.00 - - De cilindrada inferior o igual a 1.000 cm3 u,0,,1,1,,
DA-EVAL-V02-00500,1,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00500,2,87034090,NANDINA_87034090,8703.40.90 - - Los demás u,1,8703.40.90 - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00500,3,87032100,NANDINA_87032100,8703.21.00 - - De cilindrada inferior o igual a 1.000 cm3 u,0,,1,1,,
DA-EVAL-V02-00423,1,87011000,NANDINA_87011000,8701.10.00 - Tractores de un solo eje u,0,,1,1,,
DA-EVAL-V02-00423,2,87082990,NANDINA_87082990,8708.29.90 - - - Los demás u,1,8708.29.90 - - - Los demás u,1,1,Evidencia normativa generica | Evidencia generica,
DA-EVAL-V02-00423,3,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-00501,1,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00501,2,87032410,NANDINA_87032410,8703.24.10 - - - Con tracción en las cuatro ruedas u,0,,1,1,,
DA-EVAL-V02-00501,3,87032100,NANDINA_87032100,8703.21.00 - - De cilindrada inferior o igual a 1.000 cm3 u,0,,1,1,,
DA-EVAL-V02-00287,1,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00287,2,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00287,3,87038090,NANDINA_87038090,8703.80.90 - - Los demás u,1,8703.80.90 - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00914,1,87083022,NANDINA_87083022,8708.30.22 - - - Sistemas neumáticos u,0,,1,1,,
DA-EVAL-V02-00914,2,87083029,NANDINA_87083029,8708.30.29 - - - Las demás partes u,0,,1,1,,
DA-EVAL-V02-00914,3,87089999,NANDINA_87089999,8708.99.99 - - - - Los demás u,1,8708.99.99 - - - - Los demás u,1,1,"Evidencia generica, no especifica el pedal de freno | Evidencia generica, no especifica el pedal de freno",
DA-EVAL-V02-00948,1,87083029,NANDINA_87083029,8708.30.29 - - - Las demás partes u,0,,1,1,,
DA-EVAL-V02-00948,2,87083010,NANDINA_87083010,8708.30.10 - - Guarniciones de frenos montadas u,0,,1,1,,
DA-EVAL-V02-00948,3,87082990,NANDINA_87082990,8708.29.90 - - - Los demás u,1,8708.29.90 - - - Los demás u,1,1,Evidencia normativa es genérica | no específicas para soportes de freno,
DA-EVAL-V02-00971,1,87083029,NANDINA_87083029,8708.30.29 - - - Las demás partes u,0,,1,1,,
DA-EVAL-V02-00971,2,87149900,NANDINA_87149900,8714.99.00 - - Los demás u,1,8714.99.00 - - Los demás u,1,1,Falta información sobre el material y las dimensiones del disco de freno. | generica,
DA-EVAL-V02-00971,3,87083010,NANDINA_87083010,8708.30.10 - - Guarniciones de frenos montadas u,0,,1,1,,
DA-EVAL-V02-00972,1,87083029,NANDINA_87083029,8708.30.29 - - - Las demás partes u,0,,1,1,,
DA-EVAL-V02-00972,2,87149900,NANDINA_87149900,8714.99.00 - - Los demás u,1,8714.99.00 - - Los demás u,1,1,"Específicamente, el disco de freno posterior y el material no están mencionados en la normativa. | generica",
DA-EVAL-V02-00972,3,87083010,NANDINA_87083010,8708.30.10 - - Guarniciones de frenos montadas u,0,,1,1,,
DA-EVAL-V02-00740,1,87089999,NANDINA_87089999,8708.99.99 - - - - Los demás u,1,8708.99.99 - - - - Los demás u,1,1,Evidencia generica,
DA-EVAL-V02-00740,2,87088090,NANDINA_87088090,8708.80.90 - - Los demás u,1,8708.80.90 - - Los demás u,1,1,Evidencia generica,
DA-EVAL-V02-00740,3,87088020,NANDINA_87088020,8708.80.20 - - Amortiguadores y sus partes u,0,,1,1,,
DA-EVAL-V02-00770,1,87089999,NANDINA_87089999,8708.99.99 - - - - Los demás u,1,8708.99.99 - - - - Los demás u,1,1,Evidencia generica,
DA-EVAL-V02-00770,2,87088090,NANDINA_87088090,8708.80.90 - - Los demás u,1,8708.80.90 - - Los demás u,1,1,Evidencia generica,
DA-EVAL-V02-00770,3,87088020,NANDINA_87088020,8708.80.20 - - Amortiguadores y sus partes u,0,,1,1,,
DA-EVAL-V02-00925,1,87083029,NANDINA_87083029,8708.30.29 - - - Las demás partes u,0,,1,1,,
DA-EVAL-V02-00925,2,87089999,NANDINA_87089999,8708.99.99 - - - - Los demás u,1,8708.99.99 - - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00925,3,87083010,NANDINA_87083010,8708.30.10 - - Guarniciones de frenos montadas u,0,,1,1,,
DA-EVAL-V02-00975,1,87083029,NANDINA_87083029,8708.30.29 - - - Las demás partes u,0,,1,1,,
DA-EVAL-V02-00975,2,87089999,NANDINA_87089999,8708.99.99 - - - - Los demás u,1,8708.99.99 - - - - Los demás u,1,1,evidencia generica | generica,
DA-EVAL-V02-00975,3,87083010,NANDINA_87083010,8708.30.10 - - Guarniciones de frenos montadas u,0,,1,1,,
DA-EVAL-V02-00947,1,87083029,NANDINA_87083029,8708.30.29 - - - Las demás partes u,0,,1,1,,
DA-EVAL-V02-00947,2,87149900,NANDINA_87149900,8714.99.00 - - Los demás u,1,8714.99.00 - - Los demás u,1,1,"Evidencia normativa es genérica y no especifica soportes de disco de freno | específicamente para discos de freno, no para soportes",
DA-EVAL-V02-00947,3,87083010,NANDINA_87083010,8708.30.10 - - Guarniciones de frenos montadas u,0,,1,1,,
DA-EVAL-V02-00920,1,87082990,NANDINA_87082990,8708.29.90 - - - Los demás u,1,8708.29.90 - - - Los demás u,1,1,Específicamente menciona 'Los demás u' | Específicamente menciona 'Los demás u',
DA-EVAL-V02-00920,2,87082920,NANDINA_87082920,"8708.29.20 - - - Guardafangos, cubiertas de motor, flancos, puertas, y sus partes u",0,,1,1,,
DA-EVAL-V02-00920,3,87089950,NANDINA_87089950,8708.99.50 - - - Tanques para carburante u,0,,1,1,,
DA-EVAL-V02-00960,1,87083029,NANDINA_87083029,8708.30.29 - - - Las demás partes u,0,,1,1,,
DA-EVAL-V02-00960,2,87082920,NANDINA_87082920,"8708.29.20 - - - Guardafangos, cubiertas de motor, flancos, puertas, y sus partes u",0,,1,1,,
DA-EVAL-V02-00960,3,87082990,NANDINA_87082990,8708.29.90 - - - Los demás u,1,8708.29.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-01020,1,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-01020,2,87149400,NANDINA_87149400,"8714.94.00 - - Frenos, incluidos los bujes con freno, y sus partes u",0,,1,1,,
DA-EVAL-V02-01020,3,87079090,NANDINA_87079090,8707.90.90 - - Las demás u,0,,1,1,,
DA-EVAL-V02-01021,1,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-01021,2,87149400,NANDINA_87149400,"8714.94.00 - - Frenos, incluidos los bujes con freno, y sus partes u",0,,1,1,,
DA-EVAL-V02-01021,3,87079090,NANDINA_87079090,8707.90.90 - - Las demás u,0,,1,1,,
DA-EVAL-V02-01022,1,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-01022,2,87149400,NANDINA_87149400,"8714.94.00 - - Frenos, incluidos los bujes con freno, y sus partes u",0,,1,1,,
DA-EVAL-V02-01022,3,87079090,NANDINA_87079090,8707.90.90 - - Las demás u,0,,1,1,,
