case_id,descripcion,nandina_ref,regimen,fuente_url,fecha_consulta,capitulo,partida,origen_caso,observaciones
SUNAT-0026,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE II (2.25-4 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:BLANCO (WHITE,WT) Acabado:TERMINADOS (FINISHED,F),Tratamiento:SIN TRATAMIENTO",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=14; fila_inicio=311; fila_fin=322; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0029,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE III (4.25-6 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:BLANCO (WHITE,WT) Acabado:TERMINADOS (FINISHED,F),Tratamiento:SIN TRATAMIENTO",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=17; fila_inicio=347; fila_fin=358; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0030,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE III (4.25-6 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:BLANCO (WHITE,WT) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:SIN TRATAMIENTO",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=18; fila_inicio=359; fila_fin=370; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0031,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:BLANCO (WHITE,WT) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOA",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=19; fila_inicio=371; fila_fin=382; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0032,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE II (2.25-4 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:FOTOGREY (FOTOGRAY,PX,PG) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOA",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=20; fila_inicio=383; fila_fin=394; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0033,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE III (4.25-6 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:FOTOBROWN (PHOTOBROWN,PB) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOA",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=21; fila_inicio=395; fila_fin=406; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0035,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:FOTOGREY (FOTOGRAY,PX,PG) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOA",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=23; fila_inicio=419; fila_fin=430; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0036,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE II (2.25-4 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:FOTOBROWN (PHOTOBROWN,PB) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOA",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=24; fila_inicio=431; fila_fin=442; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0037,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:GRIS Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:SIN TRATAMIENTO",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=25; fila_inicio=443; fila_fin=454; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0040,"LENTES CORRECTORES,FULLLUZ,S/M, Material:POLICARBONATO (POLY,POLICARBONATE);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:BLANCO (WHITE,WT) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOA",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=28; fila_inicio=479; fila_fin=490; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0044,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:BIFOCAL FLAT TOP (FT,STRAIGHT TOP) Color:BLANCO (WHITE,WT) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:SIN TRATAMIENTO",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=32; fila_inicio=527; fila_fin=538; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0045,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:BIFOCAL FLAT TOP (FT,STRAIGHT TOP) Color:FOTOGREY (FOTOGRAY,PX,PG) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOA",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=33; fila_inicio=539; fila_fin=550; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0046,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:BIFOCAL FLAT TOP (FT,STRAIGHT TOP) Color:FOTOBROWN (PHOTOBROWN,PB) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOA",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=34; fila_inicio=551; fila_fin=562; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0047,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:BIFOCAL FLAT TOP (FT,STRAIGHT TOP) Color:BLANCO (WHITE,WT) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOA",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=35; fila_inicio=563; fila_fin=574; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0049,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:BIFOCAL INVISIBLE (BLENDED,BL) Color:BLANCO (WHITE,WT) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:SIN TRATAMIENTO",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=37; fila_inicio=587; fila_fin=598; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0050,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:BIFOCAL INVISIBLE (BLENDED,BL) Color:BLANCO (WHITE,WT) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOA",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=38; fila_inicio=599; fila_fin=610; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0052,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:BIFOCAL INVISIBLE (BLENDED,BL) Color:FOTOGREY (FOTOGRAY,PX,PG) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOA",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=40; fila_inicio=623; fila_fin=634; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0053,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:PROGRESIVO (PROGRESIVE,PG,MULTIFOCAL) Color:BLANCO (WHITE,WT) Acabado:SEMITERMINADOS (SEMI FINISHED,SF),Tratamiento:SIN TRATAMIENTO",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=41; fila_inicio=635; fila_fin=646; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
